,created_at,full_text,party,screen_name
88,Thu Oct 11 20:35:51 +0000 2018,"While in Congress we have seen over 1,500 girls go through our 10th Congressional District Young Women Leadership Program. On today’s International Day of the Girl we honor these young women leaders who lean in and lift each other up. #VA10 https://t.co/DQOmDBij2U",republicans,RepComstock
89,Thu Oct 11 13:00:04 +0000 2018,RT @micheledarwin: Thank you @RepComstock for recognizing that Alzheimer's is a major public health crisis and in particular for your commi…,republicans,RepComstock
90,Wed Oct 10 21:42:30 +0000 2018,"Comstock Statement On Reinstatement Of Metro Employee #VA10
https://t.co/brAT0ctlNa https://t.co/tYuCLPiw32",republicans,RepComstock
91,Wed Oct 10 18:31:06 +0000 2018,RT @SpeakerRyan: Those who exploit our country’s most vulnerable must be stopped. Since we passed legislation in March that cracked down on…,republicans,RepComstock
92,Wed Oct 10 16:19:32 +0000 2018,and therapeutic activities that ease the transition back to civilian life.  #VA10 #WorldMentalHealthDay https://t.co/sWpX08wbXZ,republicans,RepComstock
93,Wed Oct 10 16:19:32 +0000 2018,"Posttraumatic Growth-based solutions to times of struggle, including anxiety, depression, PTSD, and suicidal thoughts. @SOWW_va in Haymarket also helps our veterans through non-medical programs and services, including retreats, educational...",republicans,RepComstock
94,Wed Oct 10 16:19:31 +0000 2018,"in Loudoun and this is added to other facilities in our District such as @BCRforHeroes in Bluemont which serves our veterans with their signature “Post Traumatic Growth” program with the vision to develop, deliver, study, and scale...",republicans,RepComstock
95,Wed Oct 10 16:19:31 +0000 2018,"with certified counseling services for mental health needs – We passed significant increases in mental health services for our veterans, our students, those suffering from addiction and more. Just yesterday we attended the opening of the new Youth For Tomorrow Regional Office...",republicans,RepComstock
96,Wed Oct 10 16:19:31 +0000 2018,"We continue to expand vital Mental Health services throughout our community and Congress has provided added resources every year I’ve been in Congress. This year we helped open a Veterans Center in Leesburg that provides veterans, active duty military, and their families...",republicans,RepComstock
97,Wed Oct 10 14:47:14 +0000 2018,Stay safe @VATF1 and we are praying for all of those affected by major Hurricane Michael on the Gulf Coast. #VA10 https://t.co/XBzuFy48cu,republicans,RepComstock
98,Wed Oct 10 04:07:52 +0000 2018,YFT works to improve the lives of young person’s life by reducing the risk factors and increasing the protective factors in all elements of one's life. A team of professionals and alums of YFT will now be available to serve youth in Loudoun County. #VA10 https://t.co/JHv9ojeo5i,republicans,RepComstock
99,Wed Oct 10 04:07:51 +0000 2018,"The continuum of services offered by Youth For Tomorrow helps children who have been physically and sexually abused or trafficked, children who are dealing with addiction, bullying or depression or other mental health disorders. #VA10 https://t.co/m0HcRLsOHh",republicans,RepComstock
100,Wed Oct 10 04:07:49 +0000 2018,information and referral.  YFT is a faith based organization serving the needs of children and families by offering a continuum of services as an alternative to the nation’s fragmented and overburdened child and family care systems. #VA10 https://t.co/WmKXQF2OdI,republicans,RepComstock
