,created_at,full_text,party,screen_name
71,Wed Nov 28 19:24:31 +0000 2018,"I proudly cast my vote for @NancyPelosi for Speaker today! I applaud her for visionary courage and commitment to our proposed good government rules reforms. This will be the most open, accountable and productive Congress in recent years. Read Speaker’s Statement below: https://t.co/NMrsCXxwfd",democrats,RepDarrenSoto
72,Wed Nov 28 18:38:12 +0000 2018,"RT @SamanthaJoRoth: .@RepDarrenSoto on possible deal with Problen Solvers Caucus - “It was never about opposing the leader, it was about re…",democrats,RepDarrenSoto
73,Wed Nov 28 17:50:27 +0000 2018,Stay tuned for updates... https://t.co/8xEaF5PMlJ,democrats,RepDarrenSoto
74,Wed Nov 28 16:44:21 +0000 2018,Read my statement about terrible tear gassing of refugees seeking asylum at the border: https://t.co/v7bKALqRV4,democrats,RepDarrenSoto
75,Tue Nov 27 14:39:09 +0000 2018,"RT @SSNAlerts: .@RepDarrenSoto backs Bernie Sanders' proposals, weighs in on speaker election as Democrats get ready to run the House: http…",democrats,RepDarrenSoto
76,Mon Nov 26 20:04:10 +0000 2018,Houston the “InSight” has landed! Congrats to ⁦@NASA⁩ &amp; ⁦@NASAInSight⁩ for a successful start and look forward to discovering more about Mars geological history... https://t.co/96QihCfvRk,democrats,RepDarrenSoto
77,Sat Nov 24 15:43:22 +0000 2018,"RT @garywhite13: After touring Afghanistan with congressional delegation, @RepDarrenSoto says country remains dangerous but sees hope in po…",democrats,RepDarrenSoto
78,Sat Nov 24 15:42:32 +0000 2018,Small businesses are the driver of the American economy. Small businesses can help to revitalize entire communities and they also create 2 out of every 3 net new jobs. This Saturday is your chance to #ShopSmallSaturday #ShopSmall https://t.co/qMh3Q3SW3E @HouseSBCDems,democrats,RepDarrenSoto
79,Fri Nov 23 15:19:40 +0000 2018,Read ⁦@orlandosentinel⁩ article about my recent trip to Afghanistan to visit our troops! #sayfie ⁦@HispanicCaucus⁩ ⁦@HouseDemocrats⁩ ⁦@HouseNewDems⁩ ⁦@USProgressives⁩  https://t.co/1D07x7fJ0O,democrats,RepDarrenSoto
80,Thu Nov 22 16:38:20 +0000 2018,I had an early Thanksgiving Dinner with our troops from Florida in Afghanistan. We are thankful for their service! #HappyThanksgiving https://t.co/YTXWqFLD0D,democrats,RepDarrenSoto
81,Wed Nov 21 16:58:31 +0000 2018,Just returned from my trip to #Afghanistan to visit our troops and for oversight of our mission there. 🇺🇸 🇦🇫 https://t.co/PAxrGGEteP,democrats,RepDarrenSoto
82,Wed Nov 21 16:51:49 +0000 2018,RT @PRKDMc: @RepDarrenSoto thank you for extending your gratitude to soldiers from Puerto Rico for their service while visiting our country…,democrats,RepDarrenSoto
83,Tue Nov 20 23:30:52 +0000 2018,"This would be against the law &amp; jeopardizes accuracy of #2020Census! Failure to abide by existing confidentiality laws reinforces fears that census responses regarding citizenship status could be used to the detriment of the immigrant community.

https://t.co/yJgQGidgP3",democrats,RepDarrenSoto
